Date,Close,High,Low,Open,Volume
2004-08-12,216243052482605.0,2.1873819787675492e+16,2140251743162954.0,2167975563904724.0,31256549.0
2004-08-13,2.1513421535491944e+16,2.159659104857232e+16,2134708098193985.0,2162431472872956.0,77221579.0
2004-08-16,2.1513421535491944e+16,2.1513421535491944e+16,2.1513421535491944e+16,2.1513421535491944e+16,0.0
2004-08-17,2.1762936115264892e+16,2187383084332502.0,216520429145962.0,2.1790659797279924e+16,29086678.0
2004-08-18,2187382459640503.0,2187382459640503.0,2165203673101635.0,2.1762929900015188e+16,13773622.0
2004-08-19,2190155267715454.0,2.2123340587167556e+16,2190155267715454.0,21873828997479.0,25732320.0
2004-08-20,2.1679766178131104e+16,2.1873830421098908e+16,2.1679766178131104e+16,2.1790659376659244e+16,13551179.0
2004-08-23,2204017162322998.0,2209561898780145.0,2.181838369233557e+16,2.1873831056907036e+16,14554425.0
2004-08-24,2195700168609619.0,2.2178789628199932e+16,2.1873832162426996e+16,2204017273715692.0,19719861.0
2004-08-25,2190155267715454.0,2.2012445868465396e+16,2176293427877684.0,2190155267715454.0,14347712.0
2004-08-26,2212334632873535.0,2212334632873535.0,2195700420751212.0,2190155836116275.0,36775582.0
2004-08-27,2217879295349121.0,2217879295349121.0,2192928281768275.0,2.2123347105195864e+16,12887516.0
2004-08-30,2215106725692749.0,2.2289685683574956e+16,2212334509898962.0,2.2178790942256984e+16,11038607.0
2004-08-31,2.228967905044556e+16,2.2539189089376684e+16,2.2095614838281812e+16,2215106066504919.0,30234071.0
2004-09-01,2.2594640254974364e+16,2.267781130024213e+16,2240057601007436.0,2.2289682810442104e+16,27894739.0
2004-09-02,2.2816433906555176e+16,2.2816433906555176e+16,2.2511474858113504e+16,2.2594645924249908e+16,26324410.0
2004-09-03,2.2955052852630612e+16,2.2955052852630612e+16,2265009530461347.0,2.273326485071272e+16,25168728.0
2004-09-06,2.309365510940552e+16,2314910245650667.0,2292731459549303.0,2.295503826904361e+16,20589992.0
2004-09-07,2.3038222789764404e+16,2312139233176133.0,2.2844158488582436e+16,2309366864196506.0,24607168.0
2004-09-08,2284414291381836.0,2309365289708915.0,2.2733248230239496e+16,2.3038207082690544e+16,32916309.0
2004-09-09,2.2650086879730224e+16,2.2816427437448944e+16,2.2539192156323492e+16,2.2705532714042212e+16,28523490.0
2004-09-10,2.2760980129241944e+16,2289959700643478.0,2.2622363252049108e+16,2265008693296595.0,30336287.0
2004-09-13,2287187099456787.0,2.3010489385025016e+16,2.267780830271032e+16,2281642516577624.0,30211148.0
2004-09-14,2287187099456787.0,228995946726593.0,2276097780959338.0,2287187099456787.0,21640297.0
2004-09-15,22261962890625.0,2.2760984664384484e+16,2217879183130258.0,2.2871877882756036e+16,129831388.0
2004-09-16,2.2400577068328856e+16,2.2483748117525804e+16,2228968386345776.0,2226196018039211.0,41448371.0
2004-09-17,22261962890625.0,2.2483750854759776e+16,22261962890625.0,2.240057979543736e+16,49864832.0
2004-09-20,2206789970397949.0,2228968767907958.0,2179066435325644.0,222619639912681.0,76524017.0
2004-09-21,2198472499847412.0,2.217878925361333e+16,2192927915942828.0,2.2040172364911464e+16,34647191.0
2004-09-22,2.1762936115264892e+16,2195700036197868.0,2.1762936115264892e+16,2198472404399371.0,52644619.0
2004-09-23,2.1679766178131104e+16,2.176293569517936e+16,2156886839742873.0,2.176293569517936e+16,40646283.0
2004-09-24,2.1679766178131104e+16,2173521354109088.0,2159659207890862.0,2.1679766178131104e+16,117906041.0
2004-09-27,2156886577606201.0,2176293305022672.0,2.1457972591011244e+16,2167976354328645.0,34237597.0
2004-09-28,2165205240249634.0,2.1679776096659856e+16,2.1485708710123124e+16,2.156887826522157e+16,33106858.0
2004-09-29,2.1818389892578124e+16,2.1929284653234584e+16,2162432253403743.0,2167977296914944.0,38921987.0
2004-09-30,2.1790666580200196e+16,2.2151071503798284e+16,2.1735220726302584e+16,2.181839027084496e+16,54922453.0
2004-10-01,2215106725692749.0,2215106725692749.0,2.1707492873830476e+16,2179066240242733.0,54280753.0
2004-10-04,2.27332615852356e+16,2.27332615852356e+16,2.2234239798145344e+16,2.228968717250817e+16,79102113.0
2004-10-05,2.267781734466553e+16,2.2788710573854664e+16,2.253919889893932e+16,2.2733263195564176e+16,75349500.0
2004-10-06,2.2927324771881104e+16,2301049582944865.0,2251147253882666.0,2.267781465396176e+16,53129891.0
2004-10-07,2298276901245117.0,2309366221337498.0,2.278870476529093e+16,2.2927321648293544e+16,52825402.0
2004-10-08,230104923248291.0,2.3065938160704452e+16,2.28441517624202e+16,2.2982768643195716e+16,68978594.0
2004-10-11,230104923248291.0,2.3149109205604612e+16,2.2899597598295556e+16,230104923248291.0,40138022.0
2004-10-12,230104923248291.0,230104923248291.0,230104923248291.0,230104923248291.0,0.0
2004-10-13,2314911127090454.0,2.3232282323224996e+16,2281643011640584.0,2301049437776201.0,72491907.0
2004-10-14,2331544876098633.0,2.3426343482730172e+16,2289959660922961.0,2314910820576191.0,63991827.0
2004-10-15,233986234664917.0,2.3454069308655024e+16,2314911183088616.0,2.3315452412159324e+16,57055687.0
2004-10-18,2.342634201049805e+16,2353723519788144.0,2334317097441706.0,2.3398618331804384e+16,87170891.0
2004-10-19,2.3537232875823972e+16,2.362040237630865e+16,2348178552390679.0,2342633969938071.0,60060934.0
2004-10-20,233986234664917.0,2.3481792993432484e+16,2334317609693678.0,233986234664917.0,105736073.0
2004-10-21,2.3675858974456788e+16,2.3731306348028064e+16,2342634884816944.0,233986251613838.0,130255780.0
2004-10-22,2.3731303215026852e+16,2381447273701205.0,2.36204084825246e+16,2.3648132165650164e+16,54604291.0
2004-10-25,2.3343169689178468e+16,2.3509510224790732e+16,2.3315446012011228e+16,2.373129811473748e+16,64969438.0
2004-10-26,2345407009124756.0,2.348179377695008e+16,2328772950442411.0,2339862424723417.0,87457504.0
2004-10-27,2.3759024143218996e+16,2.3759024143218996e+16,2345406519159023.0,235649599112339.0,67518175.0
2004-10-28,2.409170866012573e+16,2428577291960138.0,2381447334913557.0,2384219703297374.0,108273863.0
2004-10-29,2.4258053302764892e+16,2.4563013876113156e+16,2.4036265322267044e+16,2.4091712699239456e+16,74781991.0
2004-11-01,244903564453125.0,244903564453125.0,244903564453125.0,244903564453125.0,0.0
2004-11-02,2.4611873626708984e+16,2.4724901000088172e+16,2.4357560090622624e+16,2449884469654325.0,68927839.0
2004-11-03,246401309967041.0,2.4837934751668084e+16,245553608500376.0,2.461187531900637e+16,81134230.0
2004-11-04,2.4611873626708984e+16,2469664376754674.0,2441407455570549.0,2.4640129302463876e+16,44918883.0
2004-11-05,2.478140592575073e+16,2497920803418484.0,2.4640119817430616e+16,2.4611864152552532e+16,64216543.0
2004-11-08,2.4611873626708984e+16,2.4724901000088172e+16,2458361639416755.0,2469664376754674.0,95921573.0
2004-11-09,2427278995513916.0,2.461187521067256e+16,2404673519383242.0,2.461187521067256e+16,83740929.0
2004-11-10,2407499074935913.0,2441407600317356.0,2.4018477837712252e+16,2435756153474005.0,69970200.0
2004-11-11,2.4611873626708984e+16,2478141546517104.0,2396196194861565.0,2.407498932199484e+16,122419274.0
2004-11-12,2500746488571167.0,2.523351954210612e+16,2472489111646789.0,2.4611863788270668e+16,186748562.0
2004-11-15,2540306806564331.0,2540306806564331.0,2503572567109608.0,2.5007470000856664e+16,174484535.0
2004-11-16,2517702341079712.0,2537482253435985.0,2.4950967047184436e+16,2.5346565294309892e+16,111830855.0
2004-11-17,2.5826921463012692e+16,2.5826921463012692e+16,2.5035725343783364e+16,2.5177011477064476e+16,175677897.0
2004-11-18,2.5855181217193604e+16,2608123749575574.0,2.5600867709212904e+16,2582692398777504.0,101734127.0
2004-11-19,2.5883424282073972e+16,2.619425207879328e+16,2.5742139769084572e+16,2.5996451581108396e+16,92187444.0
2004-11-22,2577040910720825.0,2577040910720825.0,2.545958116425416e+16,2588343645941849.0,209708285.0
2004-11-23,2.5431313514709476e+16,2.5939940283175056e+16,2.5346543424488948e+16,257703985459484.0,58202851.0
2004-11-24,2.5431313514709476e+16,2557259959305303.0,2.529002899315153e+16,2.554434237738432e+16,116354223.0
2004-11-25,2.5742151737213132e+16,2.5742151737213132e+16,2.5374810898584036e+16,2543132379598265.0,87251577.0
2004-11-26,2.5742151737213132e+16,2.5826921861704184e+16,2548783825016751.0,2.5742151737213132e+16,32451658.0
2004-11-29,2.5544350147247316e+16,2.5939948173367692e+16,2.5487835698719804e+16,2.5742149160307504e+16,33147343.0
2004-11-30,2.5544350147247316e+16,2.5600863038988732e+16,2.5431321250192296e+16,2.5544350147247316e+16,75598089.0
2004-12-01,2560086250305176.0,2568563417406838.0,2.5459577941476772e+16,2.55443496124934e+16,57327627.0
2004-12-02,2.5629119873046876e+16,2.5826918883095556e+16,2.5459578086831724e+16,2.574214876838101e+16,46092319.0
2004-12-03,2.551609039306641e+16,2.571388938651485e+16,2.5374805842542068e+16,2562911772212869.0,51246196.0
2004-12-06,2.551609039306641e+16,2.551609039306641e+16,2.551609039306641e+16,2.551609039306641e+16,0.0
2004-12-07,2.551609039306641e+16,2.5572604835990516e+16,2.5346548621080016e+16,2.551609039306641e+16,42254387.0
2004-12-08,2.551609039306641e+16,2.551609039306641e+16,2.551609039306641e+16,2.551609039306641e+16,0.0
2004-12-09,2.5346548557281492e+16,2.5572604771623e+16,2517700678572185.0,2551609032884114.0,46040976.0
2004-12-10,2.5346548557281492e+16,2.5459575886059284e+16,2.5261776893108708e+16,2.5346548557281492e+16,27330851.0
2004-12-13,2.551609039306641e+16,2.5572604835990516e+16,2531829139961796.0,2.5374805842542068e+16,42849111.0
2004-12-14,2548783302307129.0,2.5685632015367036e+16,2.5374805694667684e+16,2.5516090244368668e+16,70545025.0
2004-12-15,2.5346548557281492e+16,2551609032884114.0,2.5346548557281492e+16,2548783310745021.0,34435485.0
2004-12-16,2531829357147217.0,2545957813411618.0,2.5205266232714172e+16,2.5346550795358188e+16,62835662.0
2004-12-17,2529003143310547.0,2.5431315968294384e+16,250357180243368.0,2.5318288651500404e+16,130578285.0
2004-12-20,2.526178359985352e+16,2543132541642478.0,2517701346996106.0,2529004082874645.0,71441914.0
2004-12-21,2537480592727661.0,254313188136035.0,2523351981949454.0,2.526177704105096e+16,43859474.0
2004-12-22,2.5629119873046876e+16,2.5685634320713944e+16,2.5459578086831724e+16,2.5374807972117184e+16,39267012.0
2004-12-23,2579866647720337.0,2.5911695393645836e+16,2.5600867430215404e+16,2562912465932602.0,51864825.0
2004-12-24,2579866647720337.0,2579866647720337.0,2579866647720337.0,2579866647720337.0,0.0
2004-12-27,2.5855181217193604e+16,2.5968210134867856e+16,2582692398777504.0,2579866675835648.0,18377328.0
2004-12-28,2596820831298828.0,2596820831298828.0,2582692217580783.0,2585517940324392.0,10442200.0
2004-12-29,2596820831298828.0,2599646398363811.0,2585517940324392.0,2596820831298828.0,53230795.0
2004-12-30,2579866647720337.0,2.5996465524191332e+16,2579866647720337.0,2596820985186707.0,35905006.0
2004-12-31,2579866647720337.0,2579866647720337.0,2579866647720337.0,2579866647720337.0,0.0
2005-01-03,2.5996453762054444e+16,2.6194254276333604e+16,257138847123698.0,2.5798654804560932e+16,63242917.0
2005-01-04,2.5996453762054444e+16,2610948262735682.0,2.591168366986331e+16,259681981025145.0,24674135.0
2005-01-05,2.5629119873046876e+16,2.5826918883095556e+16,2554434975833233.0,2.5826918883095556e+16,57175241.0
2005-01-06,2.5629119873046876e+16,2.5629119873046876e+16,2.5629119873046876e+16,2.5629119873046876e+16,0.0
2005-01-07,2.551609039306641e+16,2579865949411508.0,2.5459575950142292e+16,2579865949411508.0,75838581.0
2005-01-10,2.5459582805633544e+16,2.5685639081414124e+16,2543132557656268.0,2551609726377528.0,30720649.0
2005-01-11,2548783302307129.0,2.5685632015367036e+16,2.5403062915965068e+16,2.5459575801773904e+16,65336486.0
2005-01-12,2.5431313514709476e+16,2.554434237738432e+16,2.5318286208820236e+16,2540305785582637.0,42306200.0
2005-01-13,2.568562984466553e+16,2574214428248424.0,2548783086908584.0,2543131643126713.0,77006138.0
2005-01-14,2.568562984466553e+16,2.5713887063574884e+16,2554434530690455.0,2.568562984466553e+16,96354021.0
2005-01-17,2602473020553589.0,2602473020553589.0,2.5685646472683884e+16,2.5685646472683884e+16,80182955.0
2005-01-18,2596820831298828.0,260247212110742.0,2.5770409277721916e+16,259116938581161.0,146403408.0
2005-01-19,2.5911686420440676e+16,2616599828079544.0,2.5911686420440676e+16,2.6052970960280636e+16,42146801.0
2005-01-20,2.5713891983032228e+16,2591169099645387.0,2.5629120310086056e+16,2591169099645387.0,65643674.0
2005-01-21,2548783302307129.0,2.5685632015367036e+16,2.5459575801773904e+16,2571388923666442.0,85642232.0
2005-01-24,2.5431313514709476e+16,2.5487827946046892e+16,2.5261771777482812e+16,2.5487827946046892e+16,123765741.0
2005-01-25,2548783302307129.0,2.5770403679259184e+16,2.5403062915965068e+16,2.5431318580476524e+16,136980311.0
2005-01-26,2.5544350147247316e+16,2.5629120263252484e+16,2.5459578474456052e+16,2.5487835698719804e+16,200918463.0
2005-01-27,2.568562984466553e+16,2.568562984466553e+16,2543131643126713.0,2554434530690455.0,153563141.0
2005-01-28,2.5713891983032228e+16,258269193235077.0,2.5629120310086056e+16,2568563475871684.0,298412702.0
2005-01-31,2.5742151737213132e+16,2.5883436315889044e+16,2.5713894510120708e+16,2.5713894510120708e+16,71811954.0
2005-02-01,2.5921804904937744e+16,2.5950321944237696e+16,2.5779221279538148e+16,2.5750704240238196e+16,49475754.0
2005-02-02,2.6064388751983644e+16,260929057915261.0,2.5807738538301904e+16,2.5921805125371544e+16,213258672.0
2005-02-03,2.609291076660156e+16,2.609291076660156e+16,2595032711280337.0,2606439372162183.0,73774678.0
2005-02-04,2.6549177169799804e+16,2657769578415793.0,2609290919097729.0,2609290919097729.0,396049559.0
2005-02-07,2.6805830001831052e+16,2.6976932267848624e+16,2660621226257767.0,2654917817390515.0,298247799.0
